index,date,appliance,time,consumption,house,Month,Weekday
0,2012-06-27,Entertainment,Afternoon,671494.9716000122,04,June,Wednesday
1,2012-06-27,Entertainment,Evening,593158.1677000171,04,June,Wednesday
2,2012-06-27,Entertainment,Morning,620648.3685399707,04,June,Wednesday
3,2012-06-27,Entertainment,Night,348870.4959399781,04,June,Wednesday
4,2012-06-27,Freezer,Afternoon,3827111.202300003,04,June,Wednesday
5,2012-06-27,Freezer,Evening,2942528.850999883,04,June,Wednesday
6,2012-06-27,Freezer,Morning,5081833.608299994,04,June,Wednesday
7,2012-06-27,Freezer,Night,5882334.630800003,04,June,Wednesday
8,2012-06-27,Fridge,Afternoon,574991.9463500059,04,June,Wednesday
9,2012-06-27,Fridge,Evening,463684.99821000453,04,June,Wednesday
10,2012-06-27,Fridge,Morning,778780.9622900083,04,June,Wednesday
11,2012-06-27,Fridge,Night,815121.329290007,04,June,Wednesday
12,2012-06-27,Kitchen appliances,Afternoon,9899.111520000053,04,June,Wednesday
13,2012-06-27,Kitchen appliances,Evening,358281.4863599879,04,June,Wednesday
14,2012-06-27,Kitchen appliances,Morning,304398.2145199903,04,June,Wednesday
15,2012-06-27,Kitchen appliances,Night,15545.848800000082,04,June,Wednesday
16,2012-06-27,Lamp,Afternoon,87328.55442000194,04,June,Wednesday
17,2012-06-27,Lamp,Evening,34575.26209999998,04,June,Wednesday
18,2012-06-27,Lamp,Morning,101732.09801999973,04,June,Wednesday
19,2012-06-27,Lamp,Night,53604.3571800001,04,June,Wednesday
20,2012-06-27,Stereo and laptop,Afternoon,269549.303600006,04,June,Wednesday
21,2012-06-27,Stereo and laptop,Evening,211900.2300000045,04,June,Wednesday
22,2012-06-27,Stereo and laptop,Morning,371352.53420000593,04,June,Wednesday
23,2012-06-27,Stereo and laptop,Night,421960.18420000555,04,June,Wednesday
24,2012-06-27,Tablet,Afternoon,20317.343609999945,04,June,Wednesday
25,2012-06-27,Tablet,Evening,16387.82545999977,04,June,Wednesday
26,2012-06-27,Tablet,Morning,29931.918219999825,04,June,Wednesday
27,2012-06-27,Tablet,Night,29550.59901999955,04,June,Wednesday
28,2012-06-28,Entertainment,Afternoon,645530.7023600077,04,June,Thursday
29,2012-06-28,Entertainment,Evening,326456.2933000107,04,June,Thursday
30,2012-06-28,Entertainment,Morning,750161.8249999653,04,June,Thursday
31,2012-06-28,Entertainment,Night,195275.80525998748,04,June,Thursday
32,2012-06-28,Freezer,Afternoon,3835910.0353999804,04,June,Thursday
33,2012-06-28,Freezer,Evening,2320532.2784000407,04,June,Thursday
34,2012-06-28,Freezer,Morning,5270580.43949993,04,June,Thursday
35,2012-06-28,Freezer,Night,3594536.032100041,04,June,Thursday
36,2012-06-28,Fridge,Afternoon,621240.9613900054,04,June,Thursday
37,2012-06-28,Fridge,Evening,385405.7623600035,04,June,Thursday
38,2012-06-28,Fridge,Morning,788249.560650008,04,June,Thursday
